GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
SMARCD2,Specific granule defiency 2,AR,Pediatric,Allergy/Immunology/Infectious; Craniofacial; Hematologic; Musculoskeletal; Neurologic,"Among other findings, individuals have been described with early-onset severe and recurrent infections, and antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial; HSCT has been described",28369036
SMARCE1,"Meningioma, familial, susceptibility to",AD,Pediatric,Craniofacial; Musculoskeletal; Neurologic; Oncologic,Awareness of the risk of neoplasms may allow early detection and treatment,23377182; 23906836; 25168959
SMC1A,"Cornelia de Lange syndrome 2; Developmental and epileptic encephalopathy 85, with or without midline brain defects",XL,N/A,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16604071; 20358602; 20635401; 26386245; 26752331; 31334757
SMC3,Cornelia de Lange syndrome 3 with or without midline brain defects,AD,N/A,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17273969; 24403048; 31334757
SMCHD1,Bosma arhinia microphthalmia syndrome,AD,Pediatric,Craniofacial; Endocrine; Musculoskeletal; Ophthalmologic,"The condition involves hypogonadotropic hypogonadism, and in order to induce and maintain secondary sex characteristics, gradually increasing doses of gonadal steroids (females: estrogen/progestin; males: testosterone/hCG) can be beneficial; Related to fertility, endocrinologic therapy (females: recombinant hCG or pulsatile GnRH therapy; males: hCG/HMG/recombinant FSH or pulsatile GnRH therapy) may be effective, though IVF may be required",23143600; 28067909; 28067911
SMG9,Heart and brain malformation syndrome,AR,N/A,Cardiovascular; Craniofacial; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27018474
SMIM1,"Blood group, Vel system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",23505126; 23563606; 23563608
SMN1,"Spinal muscular atrophy, type I; Spinal muscular atrophy, type II; Spinal muscular atrophy, type III; Spinal muscular atrophy, type IV",AR,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",7658877; 8551862; 7813012; 8968751; 8900234; 8782046; 8882869;  9245983; 10735271; 9056553; 10339583; 14705979; 17998484; 16775228; 18337729; 18941424; 19050931; 19716110; 1978076; 20301526
SMN2,"Spinal muscular atrophy, modifier of",AD,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8900234; 9245983; 11791208; 16508748; 18337729; 18662980; 19716110; 19780763; 20301526
SMO,Pallister-Hall like syndrome,AR,N/A,Cardiovascular; Endocrine; Musculoskeletal; Neurologic,Interventions related to endocrine abnormalities may be beneficial; Surgical interventions related to hypothalamic hamartoma may be indicated,30497210; 32413283
SMOC1,Microphthalmia with limb anomalies,AR,N/A,Musculoskeletal; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21194678; 21194680
SMOC2,"Dentin dysplasia, type I",AR,N/A,Dental,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22152679; 23317772 
SMPD1,"Niemann-Pick disease, type A; Niemann-Pick disease, type B",AR,N/A,Biochemical; Cardiovascular; Endocrine; Gastrointestinal; Neurologic; Ophthalmologic; Pulmonary,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",13516139; 2023926; 1301192; 1618760; 8664904; 12369017; 15877209; 16434659; 17360762; 17632693; 18815062; 19050888; 19405096; 20301544; 20386867; 22613662 
SMPD4,"Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies",AR,Pediatric,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Among other features, individuals have been described with cardiac anomalies, including structural defects as well as cardiomyopathy, and prompt diagnosis may allow early management of these issues and sequelae",31495489
SMPX,"Deafness, X-linked 4",XL,Pediatric,Audiologic/Otolaryngologic,"Early recognition and treatment  of hearing impairment, which may occur in the prelingual stage in some individuals, may improve outcomes, including speech and language development",8872482; 21549336; 21549342; 21893181; 22911656
SMS,"Mental retardation, X-linked, Snyder-Robinson type",XL,N/A,Craniofacial; Musculoskeletal; Neurologic,"Individuals manifest with osteoporosis, and calcium supplementation (with ectopic calcification monitoring) and awareness of fracture risk may be beneficial",5823961; 14508504; 18550699; 19206178; 19277733; 21318891; 22612257; 23696453; 23805436
SNAI2,"Waardenburg syndrome, type 2D",AR,Pediatric,Audiologic/Otolaryngologic; Dermatologic; Ophthalmologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",1717985; 9450866; 12444107; 12955764
SNAP25,"Myasthenic syndrome, congenital 18, with intellectual disability and ataxia",AD,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25381298
SNAP29,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome (CEDNIK syndrome)",AR,N/A,Dermatologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15968592
SNCA,Parkinson disease 1; Parkinson disease 4; Dementia with Lewy bodies,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",2158268; 8285594; 9276199; 9197268; 11261505; 14593171; 14755720; 14755719; 16358335; 17251522; 18852448; 18413475; 18195271; 18852449; 18852445; 19139307; 19632874; 21412942; 21800132 
SNCAIP,Parkinson disease,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12761037; 18366718
SNCB,Dementia with Lewy bodies,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15365127
SNIP1,"Psychomotor retardation, epilepsy, and craniofacial dysmorphism",AR,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22279524
SNORD118,"Leukoencephalopathy, brain calcifications, and cysts (Labrune syndrome)",AR,N/A,Cardiovascular; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27571260
SNRNP200,Retinitis pigmentosa 33,AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16612614; 19878916; 21618346; 23029027
SNRPB,Cerebrocostomandibular syndrome,AD,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25047197; 25504470; 26971886
SNRPE,Hypotrichosis 11,AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23246290
SNTA1,Long QT syndrome 12,AD,Adult,Cardiovascular,"Surveillance (eg, with electrocardiography), preventive measures and medical management may be beneficial to decrease morbidity and mortality",10220144; 18591664
SNX10,"Osteopetrosis, autosomal recessive 8",AR,Pediatric,Audiologic/Otolaryngologic; Craniofacial; Dental; Hematologic; Musculoskeletal; Ophthalmologic,"The condition has been described as manifesting with sequelae of osteopetrosis, including  failure to thrive related to upper airway issues, as well as complications affecting multiple organ systems, and successful BMT in early childhood has been described",22499339; 23123320
SNX14,"Spinocerebellar ataxia, autosomal recessive 20",AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24501761; 25439728; 25848753
SOBP,"Mental retardation, anterior maxillary protrusion, and strabismus",AR,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17618476; 21035105
SOD1,"Amyotrophic lateral sclerosis; Keratoconus; Spastic tetraplegia and axial hypotonia, progressive",AD/AR,N/A,Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Evidence for pathogenicity is unclear in Keratoconus",8351519; 8105280; 8446170; 7647793; 8592323; 7887412; 15623718; 20577002; 22264771; 22292843; 22292847; 22722621; 31314961; 31332433
SOHLH1,Ovarian dysgenesis 5,AR,Pediatric,Endocrine; Genitourinary,"Awareness may allow medical management (eg, with combined estrogen-progestin therapy) in order to benefit pubertal development and growth",20506135; 25774885; 28718531
SON,ZTTK syndrome,AD,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Hematologic; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25590979; 27256762; 27545676; 27545680
